# time[BJD] normflux normfluxerr
2458216.745111 0.999859 0.005249
2458216.745775 0.992030 0.005240
2458216.746439 0.999548 0.005314
2458216.747102 1.005300 0.005384
2458216.747765 1.001640 0.005405
2458218.469962 1.003914 0.009408
2458218.470622 1.014811 0.008760
2458218.471275 0.995472 0.007957
2458218.471933 1.005093 0.007470
2458218.472710 1.002775 0.006889
2458218.473369 1.010825 0.006531
2458218.474027 1.010366 0.006177
2458218.474685 0.996918 0.005794
2458218.475457 1.007449 0.005558
2458218.476111 1.009845 0.005357
2458218.476769 1.012902 0.005182
2458218.477428 1.010019 0.005017
2458218.478086 1.006234 0.004879
2458218.478746 1.003045 0.004761
2458218.479496 1.007087 0.004685
2458218.480155 1.010983 0.004624
2458218.480815 1.011097 0.004571
2458218.481563 1.011256 0.004530
2458218.482222 1.007044 0.004468
2458218.482880 1.004162 0.004435
2458218.483653 1.012353 0.004438
2458218.484311 1.007308 0.004376
2458218.484971 1.009741 0.004361
2458218.485630 1.022138 0.004402
2458218.486292 1.014796 0.004340
2458218.486951 1.015343 0.004331
2458218.487612 1.015784 0.004318
2458218.488362 1.012752 0.004283
2458218.489021 1.012709 0.004270
2458218.489681 1.012710 0.004268
2458218.490337 1.016892 0.004274
2458218.490996 1.005881 0.004230
2458218.491768 1.014998 0.004258
2458218.492428 1.014379 0.004246
2458218.493175 1.010257 0.004232
2458218.493827 1.016520 0.004249
2458218.494486 1.017172 0.004243
2458218.495147 1.022231 0.004261
2458218.495805 1.016238 0.004222
2458218.496465 1.018555 0.004233
2458218.497123 1.011792 0.004210
2458218.497782 1.022207 0.004255
2458218.498441 1.017374 0.004226
2458218.499102 1.010691 0.004194
2458218.499761 1.008509 0.004184
2458218.500420 1.019043 0.004227
2458218.501071 1.012705 0.004210
2458218.501731 1.011782 0.004190
2458218.502481 1.008072 0.004176
2458218.503140 1.013082 0.004206
2458218.503802 1.014198 0.004209
2458218.504461 1.009998 0.004202
2458218.505123 1.011713 0.004188
2458218.505785 1.019303 0.004208
2458218.506448 1.013043 0.004183
2458218.507113 1.017095 0.004202
2458218.507772 1.009460 0.004166
2458218.508434 1.008748 0.004165
2458218.509096 1.011818 0.004162
2458218.509762 1.010426 0.004159
2458218.510424 1.014489 0.004184
2458218.511087 1.010232 0.004181
2458218.511773 1.012842 0.004187
2458218.512436 1.007895 0.004157
2458218.513099 1.010588 0.004175
2458218.513759 1.014862 0.004187
2458218.514511 1.009498 0.004158
2458218.515172 1.008948 0.004149
2458218.515834 1.011212 0.004154
2458218.516496 1.013547 0.004159
2458218.517159 1.004224 0.004127
2458218.517823 1.001469 0.004096
2458218.518486 1.009009 0.004111
2458218.519148 1.015361 0.004143
2458218.519809 1.004738 0.004123
2458218.520560 1.005775 0.004117
2458218.521223 1.008929 0.004126
2458218.521886 1.009770 0.004114
2458218.522550 1.007456 0.004104
2458218.523213 1.007107 0.004101
2458218.523877 1.001286 0.004077
2458218.524538 1.010395 0.004091
2458218.525288 1.019031 0.004100
2458218.525950 1.012859 0.004072
2458218.526615 1.035193 0.004156
2458218.527277 1.008684 0.004047
2458218.527942 1.007607 0.004042
2458218.528603 1.007588 0.004038
2458218.529266 1.008324 0.004035
2458218.529927 1.009241 0.004035
2458218.530583 1.006997 0.004017
2458218.531247 1.004412 0.003994
2458218.531912 1.006925 0.004002
2458218.532573 1.006651 0.003997
2458218.533235 1.005974 0.003986
2458218.533898 1.007519 0.003974
2458218.534561 1.000470 0.003938
2458218.535226 1.003955 0.003954
2458218.535891 1.004612 0.003946
2458218.536553 1.007832 0.003963
2458218.537215 1.004878 0.003961
2458218.537877 0.999486 0.003946
2458218.538536 0.997495 0.003941
2458218.539190 1.002114 0.003957
2458218.539852 1.000317 0.003951
2458218.540512 1.003033 0.003964
2458218.541175 0.996610 0.003941
2458218.541838 0.998764 0.003948
2458218.542500 0.998432 0.003942
2458218.543162 0.995529 0.003925
2458218.543823 0.996171 0.003931
2458218.544484 1.006655 0.003984
2458218.545147 0.992034 0.003925
2458218.545817 0.997443 0.003951
2458218.546479 0.995447 0.003938
2458218.547142 0.990554 0.003909
2458218.547803 0.997919 0.003937
2458218.548457 0.990050 0.003906
2458218.549116 0.989602 0.003904
2458218.549781 0.999694 0.003946
2458218.550444 0.993540 0.003908
2458218.551108 0.986420 0.003887
2458218.551771 0.984774 0.003867
2458218.552432 0.988477 0.003892
2458218.553094 0.983150 0.003897
2458218.553757 0.996688 0.003955
2458218.554419 0.990775 0.003933
2458218.555083 0.990261 0.003924
2458218.555747 0.991799 0.003931
2458218.556412 0.995772 0.003950
2458218.557074 0.984630 0.003911
2458218.557737 0.987478 0.003918
2458218.558399 0.989845 0.003923
2458218.559063 0.987522 0.003911
2458218.559724 0.985906 0.003903
2458218.560387 0.990575 0.003922
2458218.561049 0.988560 0.003914
2458218.561701 0.983768 0.003898
2458218.562363 0.988993 0.003921
2458218.563027 0.985155 0.003912
2458218.563691 0.987790 0.003916
2458218.564357 0.982563 0.003897
2458218.565019 0.992965 0.003946
2458218.565682 0.988092 0.003925
2458218.566333 0.983284 0.003901
2458218.566998 0.987373 0.003915
2458218.567662 0.985976 0.003899
2458218.568324 0.981599 0.003889
2458218.568985 0.984618 0.003913
2458218.569649 0.979857 0.003905
2458218.570401 0.988132 0.003935
2458218.571063 0.991349 0.003946
2458218.571724 0.986046 0.003921
2458218.572387 0.976501 0.003882
2458218.573048 0.987694 0.003937
2458218.573709 0.981431 0.003914
2458218.574371 0.978581 0.003902
2458218.575031 0.984989 0.003909
2458218.575694 0.980931 0.003891
2458218.576357 0.980050 0.003887
2458218.577015 0.984825 0.003901
2458218.577677 0.981483 0.003895
2458218.578339 0.981850 0.003899
2458218.579002 0.982894 0.003911
2458218.579667 0.985296 0.003923
2458218.580332 0.990430 0.003946
2458218.580997 0.980878 0.003910
2458218.581662 0.990448 0.003948
2458218.582324 0.985100 0.003938
2458218.582977 0.980872 0.003932
2458218.583639 0.980670 0.003932
2458218.584302 0.982168 0.003941
2458218.584962 0.978913 0.003931
2458218.585625 0.980846 0.003948
2458218.586288 0.983237 0.003954
2458218.586949 0.980374 0.003943
2458218.587611 0.978187 0.003952
2458218.588274 0.978265 0.003956
2458218.588937 0.978581 0.003958
2458218.589600 0.977487 0.003946
2458218.590263 0.983139 0.003971
2458218.591017 0.984932 0.003981
2458218.591680 0.975638 0.003946
2458218.592341 0.984738 0.003984
2458218.593003 0.979795 0.003964
2458218.593668 0.984770 0.003976
2458218.594332 0.977067 0.003940
2458218.594992 0.982089 0.003954
2458218.595656 0.976975 0.003935
2458218.596321 0.977582 0.003939
2458218.596984 0.982788 0.003964
2458218.597647 0.979557 0.003946
2458218.598310 0.988125 0.004001
2458218.598972 0.984449 0.003967
2458218.599635 0.981969 0.003956
2458218.600296 0.987223 0.003980
2458218.600956 0.980761 0.003949
2458218.601621 0.984969 0.003948
2458218.602284 0.988707 0.003955
2458218.602947 0.982181 0.003932
2458218.603610 0.986037 0.003938
2458218.604273 0.984236 0.003920
2458218.604935 0.976209 0.003887
2458218.605600 0.975536 0.003893
2458218.606261 0.984680 0.003928
2458218.606926 0.982351 0.003931
2458218.607589 0.972126 0.003903
2458218.608249 0.991054 0.003978
2458218.608911 0.990699 0.003972
2458218.609574 0.990000 0.003957
2458218.610239 0.977830 0.003915
2458218.610903 0.981227 0.003931
2458218.611569 0.979131 0.003920
2458218.612232 0.984792 0.003925
2458218.612895 0.976960 0.003894
2458218.613557 0.980681 0.003909
2458218.614222 0.983410 0.003917
2458218.614882 0.981792 0.003907
2458218.615546 0.987385 0.003922
2458218.616208 0.983421 0.003909
2458218.616866 0.981455 0.003902
2458218.617518 0.988050 0.003932
2458218.618180 0.982244 0.003913
2458218.618840 0.989776 0.003953
2458218.619503 0.985456 0.003948
2458218.620154 0.979900 0.003928
2458218.620817 0.981100 0.003919
2458218.621482 0.977780 0.003897
2458218.622143 0.978943 0.003895
2458218.622805 0.985224 0.003921
2458218.623467 0.981288 0.003912
2458218.624128 0.980347 0.003927
2458218.624793 0.978260 0.003915
2458218.625455 0.977074 0.003901
2458218.626119 0.982955 0.003913
2458218.626782 0.977871 0.003900
2458218.627445 0.983273 0.003931
2458218.628096 0.983940 0.003939
2458218.628764 0.981314 0.003930
2458218.629425 0.980728 0.003931
2458218.630088 0.977564 0.003925
2458218.630750 0.987789 0.003960
2458218.631413 0.978744 0.003923
2458218.632075 0.981789 0.003936
2458218.632734 0.983849 0.003948
2458218.633489 0.982028 0.003946
2458218.634240 0.983356 0.003957
2458218.634901 0.982226 0.003943
2458218.635564 0.982263 0.003943
2458218.636229 0.984378 0.003951
2458218.636892 0.974105 0.003918
2458218.637556 0.981186 0.003954
2458218.638217 0.982142 0.003956
2458218.638880 0.984391 0.003960
2458218.639540 0.980630 0.003950
2458218.640203 0.981319 0.003969
2458218.640868 0.980336 0.003956
2458218.641530 0.980589 0.003964
2458218.642193 0.986360 0.003983
2458218.642851 0.984607 0.003973
2458218.643515 0.987717 0.003982
2458218.644178 0.982192 0.003965
2458218.644839 0.985793 0.003976
2458218.645500 0.984533 0.003962
2458218.646165 0.979592 0.003943
2458218.646827 0.978905 0.003947
2458218.647481 0.978605 0.003954
2458218.648145 0.986023 0.003980
2458218.648806 0.985463 0.003977
2458218.649468 0.985476 0.003977
2458218.650133 0.984323 0.003976
2458218.650796 0.983721 0.003974
2458218.651575 0.986438 0.003973
2458218.652237 0.989300 0.003973
2458218.652900 0.991843 0.003973
2458218.653563 0.986136 0.003959
2458218.654226 0.996830 0.003999
2458218.654888 0.999182 0.004006
2458218.655640 0.991933 0.003974
2458218.656301 0.993785 0.003978
2458218.656963 0.992311 0.003965
2458218.657628 0.997769 0.003987
2458218.658286 0.992721 0.003974
2458218.658949 0.992083 0.003982
2458218.659611 0.987359 0.003960
2458218.660277 0.997296 0.003997
2458218.660940 0.996706 0.003994
2458218.661605 1.010619 0.004050
2458218.662270 1.003834 0.004033
2458218.662932 0.997444 0.004010
2458218.663591 0.992924 0.003989
2458218.664256 0.995544 0.003998
2458218.664919 0.992765 0.003986
2458218.665580 0.997049 0.004010
2458218.666242 0.999545 0.004026
2458218.666904 0.995925 0.004023
2458218.667566 0.998219 0.004030
2458218.668229 0.994322 0.004009
2458218.668891 0.999412 0.004029
2458218.669553 1.004962 0.004049
2458218.670216 1.000036 0.004038
2458218.670879 1.000821 0.004046
2458218.671540 0.999896 0.004043
2458218.672201 1.012624 0.004093
2458218.672979 1.000351 0.004041
2458218.673643 0.997850 0.004033
2458218.674305 1.005326 0.004067
2458218.674968 1.002497 0.004059
2458218.675631 1.010827 0.004093
2458218.676293 1.006208 0.004072
2458218.676957 1.007198 0.004074
2458218.677625 0.997722 0.004031
2458218.678287 1.001040 0.004046
2458218.678951 0.999964 0.004051
2458218.679614 1.004871 0.004080
2458218.680277 1.002567 0.004071
2458218.680935 1.002012 0.004066
2458218.681714 1.002522 0.004069
2458218.682377 1.010290 0.004100
2458218.683040 1.007960 0.004092
2458218.683703 1.016615 0.004135
2458218.684367 1.014798 0.004135
2458218.685029 1.008932 0.004112
2458218.685695 1.009954 0.004127
2458218.686356 1.012805 0.004145
2458218.687009 1.011410 0.004136
2458218.687670 1.007922 0.004126
2458218.688334 1.014018 0.004150
2458218.688996 1.008778 0.004133
2458218.689659 1.006986 0.004122
2458218.690322 1.010947 0.004137
2458218.690983 1.014159 0.004153
2458218.691649 1.012434 0.004142
2458218.692310 1.014097 0.004148
2458218.692973 1.014579 0.004151
2458218.693633 1.008505 0.004135
2458218.694297 1.007770 0.004128
2458218.694959 1.008891 0.004130
2458218.695623 1.012828 0.004148
2458218.696375 1.007836 0.004138
2458218.697038 1.011473 0.004160
2458218.697704 1.012234 0.004176
2458218.698366 1.013071 0.004188
2458218.699029 1.012519 0.004184
2458218.699693 1.010795 0.004189
2458218.700446 1.009848 0.004196
2458218.701098 1.014001 0.004229
2458218.701760 1.013181 0.004234
2458218.702423 1.012975 0.004243
2458218.703086 1.010763 0.004238
2458218.703749 1.009633 0.004238
2458218.704412 1.015626 0.004262
2458218.705074 1.004649 0.004224
2458218.705830 1.004658 0.004244
2458218.706492 1.010937 0.004275
2458218.707143 1.010003 0.004281
2458218.707806 1.009402 0.004290
2458218.708469 1.007009 0.004291
2458218.709136 1.006445 0.004299
2458218.709799 1.016579 0.004345
2458218.710452 1.011785 0.004340
2458218.711114 1.014529 0.004362
2458218.711777 1.006588 0.004324
2458218.712436 1.008363 0.004346
2458218.713212 1.012703 0.004385
2458218.713872 1.017229 0.004417
2458218.714535 1.011410 0.004413
2458218.715199 1.006082 0.004411
2458218.715971 1.013445 0.004462
2458218.716633 1.006165 0.004459
2458218.717296 1.011389 0.004502
2458218.717959 1.004663 0.004487
2458218.718620 1.010198 0.004528
2458218.719282 1.012927 0.004568
2458218.719947 1.009929 0.004576
2458218.720611 1.006425 0.004579
2458218.721273 1.007775 0.004621
2458218.721936 1.006717 0.004636
2458218.722599 1.004174 0.004638
2458218.723259 1.009188 0.004687
2458218.723923 1.002878 0.004684
2458218.724587 1.006977 0.004709
2458218.725250 0.999272 0.004688
2458218.725911 1.005939 0.004739
2458218.726576 1.007605 0.004756
2458218.727239 0.999763 0.004731
2458218.727992 1.010444 0.004813
2458218.728654 1.000451 0.004797
2458218.729317 1.006531 0.004840
2458218.729975 1.010670 0.004874
2458218.730639 1.011092 0.004901
2458218.731302 1.005910 0.004895
2458218.731954 1.007630 0.004914
2458218.732617 1.004027 0.004917
2458218.733279 1.005481 0.004951
2458218.733942 1.003821 0.004967
2458218.734692 1.012253 0.005026
2458218.735354 1.003101 0.005004
2458218.736018 1.003544 0.005036
2458218.736679 0.999818 0.005035
2458218.737332 1.004677 0.005086
2458218.737997 0.997017 0.005084
2458218.738661 1.008044 0.005177
2458218.739325 1.008173 0.005203
2458218.739991 1.008556 0.005228
2458218.740651 0.997318 0.005209
2458221.478102 1.011260 0.006802
2458221.478760 1.014276 0.006574
