TESSID,RA,dec
140897162,76.731223,-75.534367
140897732,76.516788,-76.136741
140898436,76.685087,-77.330150
140898575,76.648665,-77.567452
140899383,77.000767,-77.029052
140899825,76.965626,-76.439723
140900458,77.115807,-75.705599
140938247,77.177660,-74.846927
140938802,77.114036,-74.174047
140938804,76.845883,-74.169673
140938888,77.107686,-74.086579
140938975,76.891912,-73.993582
140939464,76.929257,-73.539192
140939704,77.012695,-73.324900
140940493,77.018036,-72.708989
140941153,77.131689,-72.256747
140943185,77.560337,-72.916107
140943323,77.459675,-73.012066
140943388,77.413013,-73.055988
140945145,77.334728,-74.760795
140946237,77.229446,-76.462902
140968117,77.611457,-77.217090
140968260,77.637911,-76.849686
140968357,77.983472,-76.592389
140968543,77.727537,-76.132749
140969122,77.806087,-75.210926
140969869,77.895485,-74.363858
140970613,77.914098,-73.580850
140971545,77.873682,-72.814988
140971666,77.764231,-72.714577
140971684,77.883607,-72.706025
140971842,77.922927,-72.600237
140972368,77.944847,-72.249054
140996421,78.238533,-74.134362
140997242,78.113791,-75.144787
140997818,78.114586,-76.038694
140997860,78.180165,-76.129538
140997881,78.172361,-76.181799
140998116,78.274829,-76.889427
140998337,78.025572,-77.568957
140998522,78.539695,-77.750385
140998672,78.722666,-77.282776
140998745,78.554997,-77.069089
140999929,78.716743,-74.837046
141024724,79.146026,-72.052269
141024799,78.960342,-72.084414
141025090,79.001463,-72.236882
141026267,78.806852,-73.013960
141026903,78.853489,-73.588474
141028120,78.888405,-75.013681
141028164,79.119944,-75.062764
141028198,78.963021,-75.103082
141028962,79.100420,-76.505694
141028966,78.973839,-76.514054
141029712,79.304291,-77.101111
141029787,79.536230,-76.904019
141030168,79.540965,-75.978644
141030392,79.214731,-75.630500
141030721,79.450195,-75.186164
141030825,79.294990,-75.048253
141090270,79.260171,-73.099509
141091923,79.197101,-72.057473
141092369,79.722296,-71.975681
141093029,79.792087,-72.291758
141093693,79.668073,-72.694294
141094672,79.959948,-73.387954
141094861,79.838320,-73.588124
141095359,79.577147,-74.062509
141096071,79.649116,-74.897378
141096270,79.670461,-75.156818
141096492,79.846347,-75.434644
141096635,79.776084,-75.638345
141097027,79.666394,-76.368501
141120940,79.689909,-77.150949
141121044,79.729708,-77.441384
141121080,79.707214,-77.522275
141121236,80.210899,-77.920316
141121335,80.185786,-77.592273
141121793,80.343613,-76.298376
141121890,80.055700,-76.104408
141122468,80.343424,-75.147174
141122677,80.079806,-74.904875
141123049,80.293706,-74.460751
141123349,80.044269,-74.109065
141123588,80.090012,-73.849167
141124144,80.087923,-73.327332
141124793,80.256095,-72.848399
141126397,80.125269,-71.958789
141126559,80.556113,-71.938521
141127253,80.405447,-72.227891
141127435,80.686864,-72.338582
141127541,80.667205,-72.387011
141127543,80.757324,-72.387597
141128773,80.684470,-73.160743
141151953,80.634604,-73.801433
141152927,80.705487,-75.004523
141152931,80.586807,-75.010138
141153349,80.564410,-75.526492
141153472,80.689772,-75.717031
141153836,80.546194,-76.494330
141154115,80.444185,-77.313263
141154638,80.959911,-76.977023
141154669,81.105998,-76.895630
141155264,81.094783,-75.620574
141155352,80.895013,-75.482631
141156018,81.068265,-74.632762
141156105,81.043342,-74.526173
141156752,81.122166,-73.732319
141156816,80.860784,-73.665737
141157161,80.836634,-73.358919
141157180,81.096466,-73.340208
141181136,81.028864,-72.126673
141183894,81.518244,-73.124297
141183901,81.458332,-73.130638
141184207,81.261894,-73.373562
141185142,81.439831,-74.423895
141185270,81.414769,-74.607006
141186075,81.329308,-75.692401
141186325,81.226660,-76.206815
141187010,81.613643,-77.723739
141187075,81.538461,-77.525503
141187082,81.824452,-77.499427
141187126,81.876225,-77.381976
141187570,81.676379,-76.195999
141187625,81.586430,-76.089881
141187719,81.855494,-75.894332
141210448,81.788940,-74.755438
141210949,81.580917,-74.080586
141211966,81.856577,-73.077355
141211998,81.609754,-73.042650
141212548,81.914463,-72.621764
141212720,81.779012,-72.522324
141212881,81.832104,-72.426943
141215141,82.066434,-72.739483
141216398,82.106254,-74.365885
141216820,82.121847,-75.135297
141267791,82.013714,-76.947387
141268280,82.534628,-76.931264
141268467,82.513278,-76.248708
141268605,82.635862,-75.871711
141268690,82.616559,-75.669172
141269217,82.444846,-74.661943
141269964,82.497362,-73.509973
141270589,82.607328,-72.787953
141271078,82.530908,-72.408677
141271216,82.551145,-72.309389
141272004,82.902605,-71.904485
141278810,82.798026,-73.529429
141278888,82.909606,-73.629379
141280255,82.970133,-76.340914
141280450,82.805110,-77.005628
141280939,83.263586,-76.890277
141281495,83.248481,-75.236783
141281526,83.315148,-75.182064
141281742,83.255707,-74.766570
141282097,83.402026,-74.220323
141282136,83.233872,-74.155843
141283921,83.447150,-72.247027
141284411,83.465135,-71.993609
141333573,83.797370,-77.713294
141333591,83.695299,-77.677694
141333640,83.807202,-77.543734
141333677,83.741442,-77.434584
141334274,83.536422,-75.939731
141334293,83.838865,-75.891436
141334555,83.689607,-75.427221
141334574,83.732103,-75.393564
141334585,83.757553,-75.377760
141334793,83.591628,-75.098322
141335100,83.869483,-74.685977
141335489,83.855955,-74.219329
141335553,83.588793,-74.142924
141335787,83.530086,-73.848891
141335886,83.686595,-73.741278
141407149,83.844366,-72.514861
141407159,83.842250,-72.510840
141407201,83.769966,-72.484380
141408445,83.693100,-71.893466
141410789,84.008858,-73.237291
141410961,83.988778,-73.426317
141411201,84.258350,-73.699327
141411713,83.931874,-74.250381
141412290,83.892526,-74.851026
141412532,84.228811,-75.159689
141413120,84.276926,-76.223174
141413219,83.905057,-76.479199
141413706,84.209700,-77.735573
141413932,84.473688,-77.447066
141414217,84.352040,-76.675868
141422096,84.450653,-76.426809
141422339,84.549067,-75.874502
141423033,84.441783,-74.879299
141423371,84.483593,-74.537886
141423416,84.637308,-74.503604
141423536,84.322622,-74.357390
141423634,84.587554,-74.232102
141423812,84.393504,-74.032336
141424643,84.402985,-73.124423
141425349,84.384577,-72.595774
141425702,84.413599,-72.386502
141426525,84.549731,-71.986467
141428620,84.910010,-73.090461
141429030,84.736771,-73.595364
141435705,84.885313,-76.033088
141435758,84.709442,-76.148977
141435816,84.892998,-76.301106
141435818,84.723931,-76.302428
141436215,84.953824,-77.391686
141469740,86.428429,-71.988554
141471105,86.272866,-73.134106
141471357,86.579930,-73.400948
141471392,86.483387,-73.437008
141471522,86.356415,-73.596625
141471755,86.448061,-73.897994
141471870,86.537613,-74.049130
141472408,86.594695,-74.723410
141472717,86.483898,-75.203070
141472777,86.464498,-75.285199
141472806,86.561517,-75.329621
141472911,86.465158,-75.511547
141473617,86.613438,-77.257197
141479174,86.985357,-76.487972
141479310,86.653490,-76.169879
141479412,86.643805,-75.947067
141479547,86.777945,-75.674202
141480176,86.783690,-74.770279
141480394,86.799326,-74.516353
141480434,86.930575,-74.472332
141480953,86.880450,-73.855271
141481311,86.871392,-73.475415
141482069,86.950558,-72.702251
141482802,86.822628,-72.130668
141484055,87.315789,-72.662660
141484509,87.116571,-73.108600
141484981,87.292658,-73.616052
141485660,87.101393,-74.469861
141486105,87.225430,-75.018164
141526439,87.114820,-76.294961
141526547,87.126609,-76.543379
141526671,87.207015,-76.872525
141526828,87.092974,-77.253432
141527571,87.524495,-76.631186
141527579,87.736134,-76.620290
141527965,87.714209,-75.688909
141528060,87.721805,-75.508022
141528280,87.619225,-75.094588
141530315,87.681856,-72.779413
141530700,87.459441,-72.412511
141530748,87.574598,-72.367696
141531810,88.087295,-72.342583
141542023,87.899832,-73.819507
141542033,88.139451,-73.834524
141542585,88.172717,-74.511876
141542755,88.010796,-74.737021
141542786,87.906290,-74.786912
141542826,87.806999,-74.839396
141543318,88.015773,-75.506264
141543540,87.846346,-75.909660
141543620,87.869704,-76.079786
141543744,87.941445,-76.348979
141544281,87.830263,-77.609865
141544494,88.306262,-77.809239
141544619,88.372955,-77.393365
141544861,88.247490,-76.845355
141545037,88.197707,-76.475018
141545616,88.391236,-75.343993
141546481,88.543890,-74.215511
141547830,88.385638,-72.843741
141547979,88.583717,-72.704785
141548474,88.505483,-72.278726
141605929,88.448081,-72.082453
141605982,88.424865,-72.036028
141606060,88.461416,-71.960197
141606958,88.593764,-72.676365
141606986,88.752956,-72.693341
141607108,88.769270,-72.814734
141607489,88.775451,-73.202427
141607553,88.715957,-73.288457
141607898,88.672693,-73.664349
141607972,88.692108,-73.748646
141608198,88.960448,-73.984659
141608289,88.714994,-74.071225
141609430,88.724913,-75.458896
141610012,88.879780,-76.730339
141610050,88.694666,-76.807497
141610136,88.681256,-77.008364
141610473,88.961394,-77.845516
141610486,88.862558,-77.889578
141610661,89.240924,-77.513018
141610759,89.151161,-77.223402
141610893,89.148668,-76.947175
141610916,89.015856,-76.921569
141611208,89.039220,-76.259542
141611237,89.064805,-76.202680
141611276,89.022570,-76.088318
141611461,89.214751,-75.708973
141611489,89.243108,-75.654440
141611855,89.351051,-75.058669
141611985,89.066140,-74.898962
141612221,89.117764,-74.604276
141612314,89.150436,-74.477432
141612474,89.088065,-74.292207
141621158,89.133953,-74.238193
141621503,89.329057,-73.875930
141621534,89.166280,-73.844765
141621733,89.029638,-73.644649
141621803,89.289719,-73.593912
141621885,89.238125,-73.516500
141622065,89.228742,-73.342639
141622119,89.028756,-73.294706
141623174,89.241566,-72.265924
141623866,89.765287,-72.219813
141624659,89.627314,-72.969664
141624979,89.687681,-73.260357
141625159,89.563554,-73.433243
141625274,89.476890,-73.566611
141625486,89.376564,-73.764608
141625559,89.402807,-73.839275
141625605,89.697137,-73.880575
141626634,89.725091,-75.159391
141626783,89.682744,-75.395720
141627126,89.430932,-75.996868
141627237,89.547728,-76.236701
141627268,89.383114,-76.297781
141627846,89.758291,-77.722386
141627869,89.658365,-77.783880
141628019,90.148270,-77.736517
141628339,89.916679,-77.010025
141680055,89.870592,-76.065718
141680245,90.070735,-75.609561
141680681,90.112626,-74.887651
141680837,89.866088,-74.709069
141681645,89.840104,-73.822464
141682589,89.982704,-72.924064
141682921,89.877160,-72.616192
141682931,90.096421,-72.608308
141683400,90.009322,-72.187813
141683401,90.112637,-72.187599
141684058,90.183008,-72.234985
141685180,90.487076,-73.219842
141685343,90.253476,-73.362841
141685465,90.404433,-73.474918
141685643,90.272515,-73.641500
141686455,90.345658,-74.451994
141686804,90.490712,-74.836736
141687247,90.373523,-75.537006
141708147,90.491070,-76.871956
141708335,90.457528,-77.298826
141708337,90.342782,-77.305530
141708546,90.360532,-77.723280
141709101,90.751288,-76.854406
141709134,90.894529,-76.779938
141709237,90.604920,-76.544392
141709296,90.810016,-76.447875
141709422,90.700876,-76.175374
141709436,90.581406,-76.146735
141709997,90.807758,-75.066320
141711008,90.691740,-73.881510
141712167,90.881578,-72.764519
141712654,90.587209,-72.363060
141712726,90.800089,-72.294011
141713189,91.111401,-71.985244
141713380,91.130546,-72.136705
141713593,91.125570,-72.309662
141714191,91.235010,-72.853347
141714269,90.967343,-72.918877
141751878,91.139606,-73.347244
141752787,91.255531,-74.375252
141752883,91.133747,-74.488648
141754291,90.990820,-76.785840
141755163,91.646463,-77.030314
141755414,91.383116,-76.402740
141755600,91.496828,-76.038908
141756071,91.472470,-75.174699
141756213,91.419306,-74.971083
141756821,91.365292,-74.163935
141757230,91.445019,-73.700878
141757294,91.584237,-73.638707
141757326,91.711176,-73.612809
141757441,91.621400,-73.491711
141757732,91.402968,-73.221965
141757920,91.636009,-73.022549
141757931,91.431939,-73.013198
141765836,91.624373,-72.512654
141766144,91.554629,-72.260500
141766191,91.680533,-72.215101
141768040,91.861253,-73.358549
141768070,91.937419,-73.391733
141769356,92.049795,-74.983159
141769434,91.893706,-75.108152
141769983,92.070747,-76.207524
141770047,91.963091,-76.353119
141770121,91.873205,-76.518189
141770198,91.875427,-76.690903
141770299,91.858412,-76.926909
141770592,92.099913,-77.653520
141770609,91.984351,-77.688906
141771483,92.490133,-76.255610
141771691,92.395149,-75.859451
141771831,92.480483,-75.599442
141771908,92.397702,-75.439834
141772259,92.174981,-74.848830
141772292,92.291566,-74.785709
141805180,92.146713,-74.393439
141805220,92.339917,-74.350715
141805493,92.258141,-73.981771
141806292,92.255214,-73.105290
141807839,92.874904,-72.227429
141808169,92.824563,-72.520741
141808675,92.677759,-73.013065
141808693,92.828020,-73.033822
141809220,92.807817,-73.598842
141809359,92.642764,-73.786598
141809729,92.859814,-74.238528
141809962,92.786387,-74.572454
141810080,92.560309,-74.753045
141810529,92.687118,-75.540776
141810934,92.589486,-76.366416
141811261,92.610378,-77.105587
141811431,92.853557,-77.439005
141811432,92.855968,-77.440797
141811445,92.559659,-77.469588
141811540,92.695910,-77.744661
141811734,93.010241,-77.758318
141811756,93.189343,-77.705823
141822625,93.172703,-76.770062
141822908,93.176614,-76.193152
141823020,93.212350,-75.958109
141823041,93.177090,-75.928949
141823504,92.991372,-75.083891
141823775,93.282262,-74.671629
141823881,92.995389,-74.514247
141823882,93.004423,-74.513837
141824122,93.218528,-74.186184
141824150,93.079958,-74.143411
141825369,93.088355,-72.807816
141826229,92.934952,-72.020705
141826365,93.451013,-71.956752
141826495,93.617368,-72.078703
141827477,93.359864,-73.009906
141865201,93.657643,-77.163698
141865875,93.802310,-77.052374
141867338,94.089724,-74.205954
141867607,93.807198,-73.836331
141867627,94.075733,-73.813186
141867895,94.042714,-73.483193
141868836,93.740735,-72.496738
141869724,94.406562,-72.242674
141869967,94.208886,-72.505245
141870589,94.386822,-73.122807
141870831,94.260641,-73.425338
141909098,94.333319,-75.180886
141909281,94.231759,-75.570449
141909444,94.154503,-75.918747
141909481,94.468048,-75.989824
141910178,94.300713,-77.557499
141910230,94.324004,-77.709108
141910291,94.184740,-77.894652
141910298,94.164595,-77.915581
141910606,94.749377,-77.328513
141910790,94.604535,-76.935607
141911201,94.631276,-76.005064
141911519,94.835603,-75.394791
141912469,94.710708,-73.793766
141912903,94.555066,-73.264259
141913487,94.501636,-72.639995
141913647,94.784367,-72.465466
141913994,94.558802,-72.132198
141914082,94.617535,-72.044846
141914301,95.131673,-72.015688
141914317,94.903215,-72.033474
141915367,94.921907,-73.140948
141940701,95.041002,-73.945005
141941220,94.950645,-74.805175
141941365,94.996121,-75.089326
141941684,95.169014,-75.717015
141941708,95.001627,-75.760718
141941986,95.225571,-76.382253
141942911,95.337656,-77.355735
141943694,95.431343,-75.657250
141943723,95.299930,-75.599561
141943808,95.318650,-75.409364
141943941,95.332964,-75.128048
141944488,95.646924,-74.181155
141944911,95.436698,-73.605502
141945465,95.417004,-72.869715
141945470,95.361442,-72.865039
141945689,95.279573,-72.645714
141945750,95.407695,-72.592477
141974066,95.805324,-72.369886
141974495,95.967916,-72.876966
141975044,96.008997,-73.584207
141975620,95.670152,-74.506011
141975903,95.726479,-75.033733
141975926,95.917670,-75.075775
141976247,95.719760,-75.678252
141976456,95.769112,-76.109792
141976598,95.932117,-76.391230
141977076,95.951314,-77.454506
141977086,95.995399,-77.471755
141977795,96.362261,-76.710197
141977932,96.204418,-76.429844
141977935,96.387139,-76.426675
141978095,96.260487,-76.090951
141978229,96.436156,-75.804406
141979397,96.116480,-73.565672
141979579,96.169784,-73.288023
141979696,96.154367,-73.124792
141979739,96.276891,-73.059399
141980295,96.065096,-72.306643
141980517,96.418032,-72.043038
142013583,96.202975,-72.010994
142014503,96.843658,-73.025521
142014618,96.802202,-73.179120
142014620,96.800804,-73.183148
142014831,96.807276,-73.485530
142014932,96.836687,-73.630188
142015213,96.461540,-74.101313
142015852,96.591652,-75.277902
142016119,96.824296,-75.824008
142016767,96.563531,-77.281646
142016953,96.686236,-77.738523
142017265,97.060975,-77.290886
142017509,96.842220,-76.736635
142017587,96.850568,-76.579432
142017826,97.187688,-76.095231
142018015,97.110932,-75.755194
142018328,96.858560,-75.130244
142018464,96.843281,-74.895791
142018697,96.930481,-74.441283
142019171,97.064591,-73.634737
142019343,97.227953,-73.327047
142019821,97.068115,-72.675011
142048447,97.146515,-72.402423
142048691,96.932276,-72.092258
142048746,96.910952,-72.024709
142049025,97.627705,-72.182653
142050046,97.311980,-73.589488
142051349,97.609559,-75.874841
142051398,97.477310,-75.976544
142051696,97.324273,-76.583160
142051786,97.387445,-76.780177
142051990,97.597933,-77.191959
142052086,97.333354,-77.416416
142052187,97.571768,-77.625471
142052277,97.311765,-77.839308
142052608,97.938338,-77.305913
142052826,97.661155,-76.851568
142052876,97.694200,-76.719200
142053500,97.933667,-75.501704
142053813,97.701403,-74.930993
142054024,97.742225,-74.579851
142054159,97.804810,-74.352437
142081602,97.850947,-72.924742
142081623,97.759751,-72.896215
142081674,97.649196,-72.833517
142081687,97.750785,-72.818271
142081711,97.805873,-72.782047
142081973,97.889800,-72.429782
142081999,97.992021,-72.401018
142082235,97.885590,-72.119342
142082467,98.319700,-72.070201
142082548,98.146136,-72.178183
142082604,98.407712,-72.276406
142082642,98.384458,-72.323165
142082796,98.272238,-72.525777
142082832,98.240867,-72.577056
142082942,98.259771,-72.762015
142083629,98.258406,-73.751270
142084274,98.121835,-74.854391
142084306,98.109197,-74.918000
142084544,98.223556,-75.370779
142084762,98.248196,-75.848300
142085192,98.218393,-76.788504
142085491,98.400883,-77.423635
142085569,98.313552,-77.594999
142085618,98.256673,-77.692635
142085641,98.122425,-77.751361
142085649,98.298451,-77.772810
142085842,98.510454,-77.687696
142086081,98.451753,-77.151166
142086091,98.600019,-77.120585
142086166,98.424155,-76.969141
142086812,98.430323,-75.629988
142086813,98.444900,-75.624900
142087047,98.709956,-75.218836
142087340,98.425816,-74.700573
142087398,98.538457,-74.593608
142087451,98.474741,-74.503840
142087638,98.442378,-74.190123
142087679,98.441308,-74.099828
142104686,98.506731,-73.165771
142104797,98.716628,-73.001722
142105105,98.662440,-72.538057
142105168,98.764910,-72.438269
142105299,98.572580,-72.277182
142105308,98.519729,-72.269825
142105466,98.628042,-72.052315
142105613,99.020715,-72.028972
142105728,99.064278,-72.186515
142105882,99.036335,-72.461895
142106096,99.033419,-72.785210
142106581,98.935203,-73.578649
142106624,99.037924,-73.645754
142107061,99.045565,-74.407778
142107219,98.860746,-74.666493
142107242,99.038281,-74.707141
142107618,99.046500,-75.382600
142107756,99.134494,-75.664490
142107759,98.816865,-75.665709
142107821,98.960020,-75.793851
142107833,98.874880,-75.821053
142107922,98.841154,-75.989782
142108746,98.971812,-77.855683
142108949,99.423881,-77.538556
142109102,99.449208,-77.119435
142109185,99.433962,-76.926881
142109283,99.429983,-76.744846
142109390,99.407877,-76.514295
142109430,99.274337,-76.410651
142109665,99.365152,-75.929590
142109731,99.562599,-75.788186
142109874,99.532952,-75.492855
142110383,99.296290,-74.584228
142110493,99.239179,-74.389430
142110536,99.371692,-74.305860
142142316,99.495376,-73.891507
142142450,99.459000,-73.629117
142142488,99.489567,-73.543666
142142586,99.259767,-73.389126
142142602,99.378772,-73.367228
142142718,99.458490,-73.202738
142143115,99.502425,-72.486333
142143886,99.672489,-72.563077
142144162,99.851261,-73.003384
142144594,99.707308,-73.738420
142144729,99.699370,-74.013481
142144915,99.882283,-74.329758
142144969,99.731035,-74.425419
142145534,99.806421,-75.508948
142146051,99.673902,-76.514144
142146835,100.209423,-77.579259
142147796,100.335321,-75.489748
142148228,100.368680,-74.674063
142148289,100.053009,-74.556367
142148587,100.256914,-73.973960
142149242,100.332987,-72.777673
149036758,78.346055,-60.059192
149037112,78.399411,-61.078274
149037363,78.372988,-61.855263
149037374,78.436041,-61.910109
149037452,78.367936,-62.129039
149037641,78.525835,-62.566122
149037812,78.386947,-62.899338
149037841,78.430061,-62.961782
149039116,78.319250,-64.976343
149039308,78.496396,-65.172773
149039372,78.354738,-65.236106
149040234,78.416153,-65.910317
149059584,80.358811,-60.230082
149059773,80.273744,-60.765330
149059950,80.248454,-61.232669
149059954,80.348736,-61.241634
149060586,80.254038,-62.619909
149060653,80.357193,-62.748051
149100764,80.407760,-63.710411
149101226,80.254046,-64.332735
149101411,80.301059,-64.538624
149102006,80.396267,-65.105201
149102723,80.380314,-65.748166
149102728,80.415495,-65.753850
149102762,80.436143,-65.775935
149103941,80.608286,-65.073128
149105107,80.541675,-63.744152
149105764,80.641900,-62.743455
149105781,80.705849,-62.723012
149107360,80.743882,-60.993787
149107389,80.871012,-61.071907
149107585,80.763493,-61.488954
149120276,80.837678,-61.638009
149120602,80.813896,-62.324756
149120706,80.902057,-62.535173
149120726,80.941651,-62.581894
149121086,80.751927,-63.193080
149121369,80.752533,-63.593499
149121385,80.919971,-63.614948
149121728,80.949247,-64.070173
149122706,80.908501,-65.048969
149123140,80.855091,-65.447065
149123486,80.786178,-65.767526
149124218,80.994630,-65.466954
149124536,80.983836,-65.171013
149124813,80.982261,-64.927297
149125377,81.209272,-64.368679
149125418,81.177060,-64.326948
149126060,80.995794,-63.536633
149126413,81.110040,-63.001925
149126622,81.092390,-62.696996
149126796,81.046966,-62.394861
149126806,81.114833,-62.377925
149126810,81.104461,-62.369589
149154577,81.148636,-60.883929
149154717,81.142801,-60.486760
149154821,80.982190,-60.201658
149154927,81.084820,-59.954575
149155198,81.367723,-60.628482
149155360,81.352701,-61.006744
149156139,81.309003,-62.608988
149156180,81.436049,-62.682525
149156748,81.364091,-63.520379
149158230,81.339376,-65.081248
149158724,81.250797,-65.518613
149158789,81.389802,-65.581015
149159039,81.299638,-65.794806
149159411,81.574912,-65.767421
149160058,81.474419,-65.235971
149160359,81.455091,-64.989374
149160778,81.687454,-64.604996
149161075,81.672693,-64.324349
149161200,81.549658,-64.178300
149174106,81.645818,-63.692722
149174494,81.619265,-63.183186
149174576,81.458709,-63.062202
149174992,81.562505,-62.440154
149175396,81.565427,-61.693580
149175859,81.553009,-60.602882
149175911,81.622604,-60.476618
149175936,81.694464,-60.427631
149175965,81.629437,-60.377495
149176080,81.494936,-60.027693
149176305,81.913885,-60.416004
149176503,81.703199,-60.931059
149176642,81.900894,-61.229654
149176684,81.901396,-61.333933
149177049,81.851310,-62.080825
149177271,81.756880,-62.489801
149178180,81.857100,-63.707606
149178462,81.750866,-64.037899
149178675,81.770068,-64.266533
149179226,81.851760,-64.808764
149179451,81.750524,-65.015868
149179607,81.712390,-65.158624
149180076,81.776482,-65.551865
149180088,81.768514,-65.557291
149215262,82.075086,-64.954716
149216024,82.034211,-64.168881
149216532,82.052213,-63.607020
149216551,81.978822,-63.585334
149216864,82.139276,-63.157406
149217342,81.953238,-62.480141
149217937,82.077631,-61.261860
149218072,82.044591,-60.925753
149218100,82.090973,-60.866414
