# time[BJD] normflux normfluxerr quarter
2454968.292707 0.994330 0.000346 1
2454968.313142 0.994051 0.000346 1
2454968.333576 0.993820 0.000346 1
2454968.354011 0.994482 0.000346 1
2454968.374445 0.993698 0.000346 1
2454968.394880 0.993941 0.000346 1
2454968.415314 0.994527 0.000346 1
2454968.435749 0.994206 0.000346 1
2454968.456183 0.993363 0.000346 1
2454968.476618 0.994087 0.000346 1
2454968.497052 0.994101 0.000346 1
2454968.517487 0.994257 0.000346 1
2454968.537921 0.994144 0.000346 1
2454968.558356 0.994693 0.000346 1
2454968.578790 0.994042 0.000346 1
2454968.599225 0.993930 0.000346 1
2454968.619659 0.994593 0.000346 1
2454968.640094 0.993859 0.000346 1
2454968.660528 0.994389 0.000346 1
2454968.680963 0.994391 0.000346 1
2454968.701397 0.994367 0.000346 1
2454968.721831 0.994829 0.000346 1
2454968.742266 0.994855 0.000346 1
2454968.762700 0.994310 0.000346 1
2454968.783135 0.994812 0.000346 1
2454968.803570 0.994131 0.000346 1
2454968.824004 0.994620 0.000346 1
2454968.844438 0.995395 0.000346 1
2454968.864873 0.994374 0.000346 1
2454968.885307 0.993539 0.000346 1
2454968.905742 0.994329 0.000346 1
2454968.926176 0.994673 0.000346 1
2454968.946611 0.994481 0.000346 1
2454968.967045 0.994605 0.000346 1
2454968.987480 0.994734 0.000346 1
2454969.007914 0.994776 0.000346 1
2454969.028349 0.994367 0.000346 1
2454969.048783 0.994153 0.000346 1
2454969.069218 0.993750 0.000346 1
2454969.089652 0.994716 0.000346 1
2454969.110087 0.994417 0.000346 1
2454969.130521 0.994996 0.000346 1
2454969.150956 0.994057 0.000346 1
2454969.171390 0.994619 0.000346 1
2454969.191825 0.993865 0.000346 1
2454969.212259 0.994160 0.000346 1
2454969.232694 0.993676 0.000346 1
2454969.253128 0.993605 0.000346 1
2454969.273563 0.993557 0.000346 1
2454969.293997 0.994078 0.000346 1
2454969.314432 0.993555 0.000346 1
2454969.334866 0.994208 0.000346 1
2454969.355301 0.993979 0.000346 1
2454969.375735 0.993104 0.000346 1
2454969.396169 0.993933 0.000346 1
2454969.416604 0.993658 0.000346 1
2454969.437038 0.993930 0.000346 1
2454969.457473 0.994407 0.000346 1
2454969.477907 0.993940 0.000346 1
2454969.498342 0.993800 0.000346 1
2454969.518776 0.994240 0.000346 1
2454969.539211 0.994563 0.000346 1
2454969.559645 0.994158 0.000346 1
2454969.580080 0.994034 0.000346 1
2454969.600514 0.994044 0.000346 1
2454969.620949 0.994130 0.000346 1
2454969.641383 0.994252 0.000346 1
2454969.661818 0.994414 0.000346 1
2454969.682252 0.994549 0.000346 1
2454969.702687 0.993963 0.000346 1
2454969.723121 0.994057 0.000346 1
2454969.743556 0.995002 0.000346 1
2454969.763990 0.993431 0.000346 1
2454969.784425 0.993520 0.000346 1
2454969.804859 0.994561 0.000346 1
2454969.825294 0.994900 0.000346 1
2454969.845728 0.994928 0.000346 1
2454969.866163 0.994601 0.000346 1
2454969.886597 0.994432 0.000346 1
2454969.907032 0.994992 0.000346 1
2454969.927466 0.994304 0.000346 1
2454969.947900 0.994004 0.000346 1
2454969.968335 0.994826 0.000346 1
2454969.988770 0.994062 0.000346 1
2454970.009204 0.995097 0.000346 1
2454970.029638 0.993822 0.000346 1
2454970.050073 0.994064 0.000346 1
2454970.070507 0.994407 0.000346 1
2454970.090942 0.994547 0.000346 1
2454970.111376 0.993861 0.000346 1
2454970.131811 0.994411 0.000346 1
2454970.152245 0.994612 0.000346 1
2454970.172680 0.995006 0.000346 1
2454970.193114 0.994698 0.000346 1
2454970.213549 0.995175 0.000346 1
2454970.233983 0.994893 0.000346 1
2454970.254418 0.994382 0.000346 1
2454970.274852 0.994556 0.000346 1
2454970.295287 0.995045 0.000346 1
2454970.315721 0.994610 0.000346 1
2454970.336156 0.994629 0.000346 1
2454970.356590 0.995560 0.000346 1
2454970.397459 0.994186 0.000346 1
2454970.417894 0.994932 0.000346 1
2454970.438328 0.995090 0.000346 1
2454970.458762 0.995442 0.000346 1
2454970.479197 0.994935 0.000346 1
2454970.499632 0.995300 0.000346 1
2454970.520066 0.995135 0.000346 1
2454970.540500 0.995176 0.000346 1
2454970.560935 0.994980 0.000346 1
2454970.581369 0.994501 0.000346 1
2454970.601804 0.994947 0.000346 1
2454970.622238 0.996275 0.000346 1
2454970.642673 0.995628 0.000346 1
2454970.663107 0.995361 0.000346 1
2454970.683542 0.995469 0.000346 1
2454970.703976 0.994806 0.000346 1
2454970.724411 0.995705 0.000346 1
2454970.744845 0.995555 0.000346 1
2454970.765280 0.995415 0.000346 1
2454970.785714 0.996053 0.000346 1
2454970.806149 0.995178 0.000346 1
2454970.826583 0.995087 0.000346 1
2454970.847018 0.995832 0.000346 1
2454970.867452 0.995573 0.000346 1
2454970.887887 0.995612 0.000346 1
2454970.908321 0.995238 0.000346 1
2454970.928756 0.995566 0.000346 1
2454970.949190 0.995845 0.000346 1
2454970.969624 0.995492 0.000346 1
2454970.990059 0.996051 0.000346 1
2454971.010493 0.996408 0.000346 1
2454971.030928 0.996389 0.000346 1
2454971.051362 0.995176 0.000346 1
2454971.071797 0.995465 0.000346 1
2454971.092231 0.995652 0.000346 1
2454971.112666 0.995785 0.000346 1
2454971.133100 0.995539 0.000346 1
2454971.153535 0.996289 0.000346 1
2454971.173969 0.996524 0.000347 1
2454971.194404 0.995233 0.000346 1
2454971.214838 0.996532 0.000346 1
2454971.235273 0.995646 0.000346 1
2454971.255707 0.996931 0.000347 1
2454971.276142 0.995952 0.000346 1
2454971.296576 0.996015 0.000346 1
2454971.317011 0.996491 0.000347 1
2454971.337445 0.996885 0.000346 1
2454971.357880 0.996264 0.000346 1
2454971.378314 0.997039 0.000346 1
2454971.398748 0.995898 0.000346 1
2454971.419183 0.995601 0.000346 1
2454971.439617 0.996579 0.000346 1
2454971.460052 0.996888 0.000346 1
2454971.480486 0.997144 0.000347 1
2454971.500921 0.996509 0.000346 1
2454971.521355 0.996836 0.000346 1
2454971.541790 0.996356 0.000346 1
2454971.562224 0.996686 0.000346 1
2454971.582659 0.997187 0.000346 1
2454971.603093 0.997077 0.000346 1
2454971.623528 0.996320 0.000346 1
2454971.643962 0.996826 0.000346 1
2454971.664397 0.996848 0.000346 1
2454971.684831 0.996774 0.000346 1
2454971.705265 0.996306 0.000346 1
2454971.725700 0.997426 0.000347 1
2454971.746135 0.996525 0.000346 1
2454971.766569 0.996336 0.000346 1
2454971.787003 0.997131 0.000347 1
2454971.807438 0.997603 0.000347 1
2454971.827872 0.997962 0.000347 1
2454971.848307 0.997022 0.000346 1
2454971.868741 0.997538 0.000347 1
2454971.889176 0.996947 0.000346 1
2454971.909610 0.997541 0.000347 1
2454971.930045 0.997597 0.000347 1
2454971.950479 0.997204 0.000346 1
2454971.970914 0.997216 0.000346 1
2454971.991348 0.997369 0.000346 1
2454972.011783 0.997185 0.000346 1
2454972.032217 0.997374 0.000347 1
2454972.052652 0.997784 0.000347 1
2454972.073086 0.997480 0.000346 1
2454972.093520 0.997672 0.000347 1
2454972.113955 0.997804 0.000347 1
2454972.134389 0.997076 0.000346 1
2454972.154824 0.998066 0.000347 1
2454972.175258 0.997642 0.000347 1
2454972.195693 0.998087 0.000347 1
2454972.216127 0.997690 0.000347 1
2454972.236562 0.998401 0.000347 1
2454972.256996 0.998187 0.000347 1
2454972.277431 0.997996 0.000347 1
2454972.297865 0.997598 0.000346 1
2454972.318300 0.997991 0.000347 1
2454972.338734 0.998609 0.000347 1
2454972.359169 0.999012 0.000347 1
2454972.379603 0.998272 0.000347 1
2454972.400038 0.997658 0.000346 1
2454972.420472 0.999198 0.000347 1
2454972.440907 0.998700 0.000347 1
2454972.461341 0.998312 0.000347 1
2454972.481775 0.998275 0.000347 1
2454972.502210 0.998500 0.000347 1
2454972.522644 0.998558 0.000347 1
2454972.543079 0.997973 0.000347 1
2454972.563513 0.998571 0.000347 1
2454972.583948 0.998721 0.000347 1
2454972.604382 0.998826 0.000347 1
2454972.624817 0.998890 0.000347 1
2454972.645251 0.998876 0.000347 1
2454972.665686 0.999123 0.000347 1
2454972.686120 0.998439 0.000347 1
2454972.706555 0.998224 0.000347 1
2454972.726989 0.998180 0.000347 1
2454972.747423 0.998668 0.000347 1
2454972.767858 0.998872 0.000347 1
2454972.788292 0.999116 0.000347 1
2454972.808727 0.998590 0.000347 1
2454972.829161 0.998705 0.000347 1
2454972.849596 0.999091 0.000347 1
2454972.870030 0.999352 0.000347 1
2454972.890465 0.998720 0.000347 1
2454972.910899 0.999985 0.000347 1
2454972.931334 0.999472 0.000347 1
2454972.951768 1.000062 0.000347 1
2454972.972203 0.999588 0.000347 1
2454972.992637 0.999383 0.000347 1
2454973.013071 0.999930 0.000347 1
2454973.033506 0.999681 0.000347 1
2454973.053941 0.999878 0.000347 1
2454973.074375 0.999348 0.000347 1
2454973.094809 1.000293 0.000347 1
2454973.115244 0.999224 0.000347 1
2454973.135678 0.999496 0.000347 1
2454973.156113 1.000549 0.000347 1
2454973.176547 0.999539 0.000347 1
2454973.196982 1.000105 0.000347 1
2454973.217416 0.999940 0.000347 1
2454973.237851 0.999705 0.000347 1
2454973.258285 1.000486 0.000347 1
2454973.278720 1.000336 0.000347 1
2454973.299154 0.999520 0.000347 1
2454973.319589 1.000443 0.000347 1
2454973.340023 1.000443 0.000347 1
2454973.380892 1.000101 0.000347 1
2454973.401326 1.000192 0.000347 1
2454973.421761 0.999692 0.000347 1
2454973.442195 1.000111 0.000347 1
2454973.462630 1.000869 0.000347 1
2454973.483064 1.000660 0.000347 1
2454973.503499 1.000274 0.000347 1
2454973.523933 1.000258 0.000347 1
2454973.544368 1.000656 0.000347 1
2454973.564802 1.000741 0.000347 1
2454973.585237 1.000598 0.000347 1
2454973.605671 1.000675 0.000347 1
2454973.626106 1.001210 0.000347 1
2454973.646540 1.001057 0.000347 1
2454973.666974 1.001101 0.000347 1
2454973.687409 1.000870 0.000347 1
2454973.707843 1.000777 0.000347 1
2454973.728278 1.001211 0.000347 1
2454973.748712 1.001927 0.000347 1
2454973.769147 1.001547 0.000347 1
2454973.789581 1.001247 0.000347 1
2454973.810016 1.000593 0.000347 1
2454973.830450 1.000428 0.000347 1
2454973.850885 1.000671 0.000347 1
2454973.871319 1.001313 0.000347 1
2454973.891753 1.001422 0.000347 1
2454973.912188 1.000544 0.000347 1
2454973.932622 1.000911 0.000347 1
2454973.953057 1.001169 0.000347 1
2454973.973491 1.001533 0.000347 1
2454973.993926 1.001577 0.000347 1
2454974.014360 1.001867 0.000347 1
2454974.034795 1.001942 0.000347 1
2454974.055229 1.001505 0.000347 1
2454974.075664 1.001571 0.000347 1
2454974.096098 1.001466 0.000347 1
2454974.116533 1.002023 0.000347 1
2454974.136967 1.001293 0.000347 1
2454974.157402 1.001742 0.000347 1
2454974.177836 1.001589 0.000347 1
2454974.198270 1.002006 0.000347 1
2454974.218705 1.001333 0.000347 1
2454974.239139 1.001945 0.000347 1
2454974.259574 1.001206 0.000347 1
2454974.280008 1.001929 0.000347 1
2454974.300443 1.001583 0.000347 1
2454974.320877 1.002155 0.000347 1
2454974.341312 1.002174 0.000347 1
2454974.361746 1.001038 0.000347 1
2454974.382180 1.001957 0.000347 1
2454974.402615 1.002519 0.000347 1
2454974.423050 1.002676 0.000347 1
2454974.443484 1.002325 0.000347 1
2454974.463918 1.001498 0.000347 1
2454974.484353 1.002247 0.000347 1
2454974.504787 1.001936 0.000347 1
2454974.525222 1.002204 0.000347 1
2454974.545656 1.002193 0.000347 1
2454974.566091 1.002627 0.000347 1
2454974.586525 1.002019 0.000347 1
2454974.606960 1.002210 0.000347 1
2454974.627394 1.003119 0.000347 1
2454974.647829 1.002713 0.000347 1
2454974.668263 1.002708 0.000347 1
2454974.688697 1.002005 0.000347 1
2454974.709132 1.002975 0.000347 1
2454974.729566 1.001850 0.000347 1
2454974.750001 1.002478 0.000347 1
2454974.770435 1.002133 0.000347 1
2454974.790870 1.003370 0.000347 1
2454974.811304 1.002676 0.000347 1
2454974.831739 1.002608 0.000347 1
2454974.852173 1.002768 0.000347 1
2454974.872608 1.003056 0.000347 1
2454974.893042 1.002953 0.000347 1
2454974.913477 1.002915 0.000347 1
2454974.933911 1.002849 0.000347 1
2454974.954345 1.002710 0.000347 1
2454974.974780 1.002536 0.000347 1
2454974.995214 1.003267 0.000347 1
2454975.015649 1.003768 0.000347 1
2454975.036083 1.002988 0.000347 1
2454975.056518 1.002909 0.000347 1
2454975.076952 1.003649 0.000347 1
2454975.097387 1.003249 0.000347 1
2454975.117821 1.002593 0.000347 1
2454975.138256 1.003363 0.000347 1
2454975.158690 1.003346 0.000347 1
2454975.179124 1.003200 0.000347 1
2454975.199559 1.003649 0.000347 1
2454975.219993 1.002980 0.000347 1
2454975.240428 1.002711 0.000347 1
2454975.260862 1.003070 0.000347 1
2454975.281297 1.002841 0.000347 1
2454975.301731 1.003008 0.000347 1
2454975.322166 1.003345 0.000347 1
2454975.342600 1.003712 0.000347 1
2454975.363035 1.003291 0.000347 1
2454975.383469 1.003255 0.000347 1
2454975.403903 1.003343 0.000347 1
2454975.424338 1.002878 0.000347 1
2454975.444772 1.003000 0.000347 1
2454975.465207 1.003457 0.000347 1
2454975.485641 1.003275 0.000347 1
2454975.506076 1.003192 0.000347 1
2454975.526510 1.002654 0.000347 1
2454975.546945 1.003826 0.000347 1
2454975.567379 1.003370 0.000347 1
2454975.587813 1.003646 0.000347 1
2454975.608248 1.003068 0.000347 1
2454975.628682 1.002791 0.000347 1
2454975.649117 1.003006 0.000347 1
2454975.669551 1.003157 0.000347 1
2454975.689986 1.003490 0.000347 1
2454975.710420 1.003878 0.000347 1
2454975.730855 1.002818 0.000347 1
2454975.751289 1.003611 0.000347 1
2454975.771723 1.002607 0.000347 1
2454975.792158 1.003028 0.000347 1
2454975.812592 1.003330 0.000347 1
2454975.833027 1.003324 0.000347 1
2454975.853461 1.002829 0.000347 1
2454975.873896 1.002583 0.000347 1
2454975.894330 1.003307 0.000347 1
2454975.914765 1.003021 0.000347 1
2454975.935199 1.002690 0.000347 1
2454975.955634 1.002677 0.000347 1
2454975.976068 1.002933 0.000347 1
2454975.996502 1.002499 0.000347 1
2454976.016937 1.003440 0.000347 1
2454976.037371 1.003257 0.000347 1
2454976.057806 1.003085 0.000347 1
2454976.078240 1.003228 0.000347 1
2454976.098675 1.002784 0.000347 1
2454976.119109 1.002309 0.000347 1
2454976.139544 1.002865 0.000347 1
2454976.159978 1.003444 0.000347 1
2454976.180413 1.002404 0.000347 1
2454976.200847 1.002970 0.000347 1
2454976.221281 1.002923 0.000347 1
2454976.241716 1.003189 0.000347 1
2454976.262150 1.002885 0.000347 1
2454976.282585 1.002314 0.000347 1
2454976.303019 1.002994 0.000347 1
2454976.323454 1.002618 0.000347 1
2454976.364322 1.003306 0.000347 1
2454976.384757 1.002119 0.000347 1
2454976.405191 1.002917 0.000347 1
2454976.425626 1.002786 0.000347 1
2454976.446060 1.002915 0.000347 1
2454976.466495 1.002671 0.000347 1
2454976.486929 1.003191 0.000347 1
2454976.507364 1.002673 0.000347 1
2454976.527798 1.003402 0.000347 1
2454976.548233 1.002240 0.000347 1
2454976.568667 1.002671 0.000347 1
2454976.589102 1.002713 0.000347 1
2454976.609536 1.002636 0.000347 1
2454976.629970 1.002728 0.000347 1
2454976.650405 1.002873 0.000347 1
2454976.670839 1.002705 0.000347 1
2454976.691274 1.002543 0.000347 1
2454976.711708 1.002707 0.000347 1
2454976.732143 1.003084 0.000347 1
2454976.752577 1.003120 0.000347 1
2454976.773011 1.003022 0.000347 1
2454976.793446 1.003135 0.000347 1
2454976.813880 1.003574 0.000347 1
2454976.834315 1.002784 0.000347 1
2454976.854749 1.002491 0.000347 1
2454976.875184 1.003038 0.000347 1
2454976.895618 1.002413 0.000347 1
2454976.916053 1.002088 0.000347 1
2454976.936487 1.002896 0.000347 1
2454976.956921 1.002600 0.000347 1
2454976.977356 1.002992 0.000347 1
2454976.997790 1.002287 0.000347 1
2454977.018225 1.001822 0.000347 1
2454977.038659 1.002972 0.000347 1
2454977.059094 1.002771 0.000347 1
2454977.079528 1.002738 0.000347 1
2454977.099963 1.002503 0.000347 1
2454977.120397 1.001382 0.000347 1
2454977.140831 1.002498 0.000347 1
2454977.161266 1.002521 0.000347 1
2454977.181700 1.002094 0.000347 1
2454977.202135 1.002557 0.000347 1
2454977.222569 1.002135 0.000347 1
2454977.243004 1.003075 0.000347 1
2454977.263438 1.002438 0.000347 1
2454977.283873 1.002818 0.000347 1
2454977.304307 1.002355 0.000347 1
2454977.324741 1.002412 0.000347 1
2454977.345176 1.002300 0.000347 1
2454977.365610 1.001387 0.000347 1
2454977.386045 1.002421 0.000347 1
2454977.406479 1.001660 0.000347 1
2454977.426914 1.003068 0.000347 1
2454977.447348 1.002411 0.000347 1
2454977.467783 1.002517 0.000347 1
2454977.488217 1.002514 0.000347 1
2454977.508651 1.002120 0.000347 1
2454977.529086 1.001550 0.000347 1
2454977.549520 1.002459 0.000347 1
2454977.569955 1.001853 0.000347 1
2454977.590389 1.002013 0.000347 1
2454977.610824 1.002341 0.000347 1
2454977.631258 1.001888 0.000347 1
2454977.651692 1.002890 0.000347 1
2454977.672127 1.002289 0.000347 1
2454977.692561 1.002358 0.000347 1
2454977.712996 1.002885 0.000347 1
2454977.733430 1.002001 0.000347 1
2454977.753865 1.001844 0.000347 1
2454977.774299 1.001430 0.000347 1
2454977.794734 1.002241 0.000347 1
2454977.815168 1.001459 0.000347 1
2454977.835603 1.002524 0.000347 1
2454977.856037 1.001950 0.000347 1
2454977.876471 1.002182 0.000347 1
2454977.896906 1.002157 0.000347 1
2454977.917340 1.002285 0.000347 1
2454977.937775 1.001804 0.000347 1
2454977.958209 1.001881 0.000347 1
2454977.978644 1.001704 0.000347 1
2454977.999078 1.002356 0.000347 1
2454978.019512 1.002402 0.000347 1
2454978.039947 1.002034 0.000347 1
2454978.060381 1.002472 0.000347 1
2454978.080816 1.001875 0.000347 1
2454978.101250 1.001719 0.000347 1
2454978.121685 1.002108 0.000347 1
2454978.142119 1.002075 0.000347 1
2454978.162553 1.002310 0.000347 1
2454978.182988 1.001965 0.000347 1
2454978.203422 1.001727 0.000347 1
2454978.223857 1.001721 0.000347 1
2454978.244291 1.001814 0.000347 1
2454978.264726 1.002474 0.000347 1
2454978.285160 1.001608 0.000347 1
2454978.305595 1.001777 0.000347 1
2454978.326029 1.001372 0.000347 1
2454978.346463 1.001931 0.000347 1
2454978.366898 1.001555 0.000347 1
2454978.387332 1.001572 0.000347 1
2454978.407767 1.001281 0.000347 1
2454978.428201 1.001732 0.000347 1
2454978.448636 1.001926 0.000347 1
2454978.469070 1.001569 0.000347 1
2454978.489504 1.001721 0.000347 1
2454978.509939 1.001695 0.000347 1
2454978.530373 1.001302 0.000347 1
2454978.550808 1.001338 0.000347 1
2454978.571242 1.001186 0.000347 1
2454978.591677 1.001019 0.000347 1
2454978.612111 1.001451 0.000347 1
2454978.632546 1.001382 0.000347 1
2454978.652980 1.000723 0.000347 1
2454978.673414 1.001216 0.000347 1
2454978.693849 1.000810 0.000347 1
2454978.714283 1.000934 0.000346 1
2454978.734718 1.000308 0.000346 1
2454978.755152 1.001495 0.000347 1
2454978.775587 1.001092 0.000347 1
2454978.796021 1.000879 0.000346 1
2454978.816455 1.001216 0.000347 1
2454978.836890 1.001940 0.000347 1
2454978.857324 1.001039 0.000347 1
2454978.877759 1.001022 0.000347 1
2454978.898193 1.001293 0.000347 1
2454978.918628 1.001243 0.000347 1
2454978.939062 1.001041 0.000347 1
2454978.959496 1.000832 0.000347 1
2454978.979931 1.000979 0.000347 1
2454979.000365 1.001042 0.000347 1
2454979.020800 1.000785 0.000347 1
2454979.041234 1.000296 0.000346 1
2454979.061669 1.001297 0.000347 1
2454979.082103 1.000265 0.000346 1
2454979.102537 1.000836 0.000347 1
2454979.122972 1.001284 0.000347 1
2454979.143406 1.000861 0.000347 1
2454979.163841 1.000638 0.000346 1
2454979.184275 1.000128 0.000346 1
2454979.204710 1.000779 0.000346 1
2454979.225144 1.001472 0.000347 1
2454979.245578 1.000769 0.000346 1
2454979.266013 1.000859 0.000346 1
2454979.286447 1.001298 0.000347 1
2454979.306882 0.999893 0.000346 1
2454979.347750 1.000859 0.000347 1
2454979.368185 0.999881 0.000346 1
2454979.388619 0.999314 0.000346 1
2454979.409054 1.000828 0.000346 1
2454979.429488 0.999312 0.000346 1
2454979.449923 0.999536 0.000346 1
2454979.470357 1.000446 0.000346 1
2454979.490792 1.000086 0.000346 1
2454979.511226 1.000285 0.000346 1
2454979.531660 1.000314 0.000346 1
2454979.552095 1.000761 0.000346 1
2454979.572529 1.000124 0.000346 1
2454979.592964 1.000733 0.000346 1
