# r C2m=1 C2m=2 C2m=3 C2m=4 C2m=5 C2m=6 C2m=7 C2m=8 C2m=9 C2m=10
0.003765 0.017495 0.000306 0.000005 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.004037 0.018779 0.000352 0.000007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.004329 0.020064 0.000402 0.000008 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.004642 0.021561 0.000464 0.000010 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.004977 0.023059 0.000531 0.000012 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.005337 0.024769 0.000613 0.000015 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.005722 0.026590 0.000707 0.000019 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.006136 0.028516 0.000813 0.000023 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.006579 0.030549 0.000932 0.000028 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.007055 0.032792 0.001074 0.000035 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.007565 0.035145 0.001234 0.000043 0.000002 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.008111 0.037603 0.001412 0.000053 0.000002 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.008697 0.040382 0.001628 0.000066 0.000003 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.009326 0.043267 0.001869 0.000080 0.000003 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.010000 0.046363 0.002147 0.000099 0.000005 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.010723 0.049780 0.002475 0.000123 0.000006 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.011498 0.053305 0.002837 0.000151 0.000008 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.012328 0.057147 0.003261 0.000186 0.000011 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000
0.013219 0.061306 0.003752 0.000229 0.000014 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000
0.014175 0.065682 0.004307 0.000282 0.000019 0.000001 0.000000 0.000000 0.000000 0.000000 0.000000
0.015199 0.070475 0.004959 0.000348 0.000024 0.000002 0.000000 0.000000 0.000000 0.000000 0.000000
0.016298 0.075588 0.005705 0.000429 0.000032 0.000003 0.000000 0.000000 0.000000 0.000000 0.000000
0.017475 0.081021 0.006554 0.000528 0.000043 0.000004 0.000000 0.000000 0.000000 0.000000 0.000000
0.018738 0.086765 0.007517 0.000648 0.000056 0.000005 0.000000 0.000000 0.000000 0.000000 0.000000
0.020092 0.093038 0.008644 0.000800 0.000074 0.000007 0.000001 0.000000 0.000000 0.000000 0.000000
0.021544 0.099725 0.009930 0.000985 0.000099 0.000010 0.000001 0.000000 0.000000 0.000000 0.000000
0.023101 0.106941 0.011418 0.001215 0.000130 0.000014 0.000002 0.000000 0.000000 0.000000 0.000000
0.024771 0.114570 0.013107 0.001495 0.000171 0.000020 0.000002 0.000000 0.000000 0.000000 0.000000
0.026561 0.122823 0.015064 0.001841 0.000226 0.000028 0.000003 0.000000 0.000000 0.000000 0.000000
0.028480 0.131592 0.017295 0.002266 0.000298 0.000040 0.000005 0.000001 0.000000 0.000000 0.000000
0.030539 0.140979 0.019851 0.002787 0.000393 0.000056 0.000008 0.000001 0.000000 0.000000 0.000000
0.032745 0.151079 0.022799 0.003430 0.000517 0.000078 0.000012 0.000002 0.000000 0.000000 0.000000
0.035112 0.161894 0.026182 0.004220 0.000681 0.000111 0.000018 0.000003 0.000000 0.000000 0.000000
0.037649 0.173402 0.030040 0.005186 0.000896 0.000156 0.000027 0.000005 0.000001 0.000000 0.000000
0.040370 0.185704 0.034451 0.006372 0.001180 0.000219 0.000041 0.000008 0.000001 0.000000 0.000000
0.043288 0.198794 0.039476 0.007816 0.001548 0.000307 0.000060 0.000012 0.000002 0.000000 0.000000
0.046416 0.212863 0.045262 0.009599 0.002037 0.000433 0.000092 0.000020 0.000004 0.000001 0.000000
0.049770 0.227878 0.051874 0.011776 0.002675 0.000608 0.000137 0.000031 0.000007 0.000002 0.000000
0.053367 0.243829 0.059388 0.014425 0.003507 0.000852 0.000207 0.000051 0.000012 0.000003 0.000001
0.057224 0.260799 0.067947 0.017655 0.004593 0.001195 0.000311 0.000081 0.000021 0.000006 0.000001
0.061359 0.278954 0.077737 0.021606 0.006013 0.001675 0.000466 0.000130 0.000036 0.000010 0.000003
0.065793 0.298146 0.088805 0.026379 0.007844 0.002335 0.000694 0.000206 0.000061 0.000018 0.000005
0.070548 0.318523 0.101363 0.032170 0.010222 0.003251 0.001034 0.000328 0.000104 0.000033 0.000011
0.075646 0.340134 0.115582 0.039174 0.013291 0.004512 0.001531 0.000519 0.000176 0.000060 0.000020
0.081113 0.363083 0.131705 0.047655 0.017259 0.006254 0.002264 0.000819 0.000296 0.000107 0.000038
0.086975 0.387188 0.149771 0.057792 0.022322 0.008626 0.003330 0.001285 0.000495 0.000191 0.000074
0.093260 0.412645 0.170118 0.069969 0.028804 0.011865 0.004884 0.002011 0.000826 0.000339 0.000139
0.100000 0.439318 0.192828 0.084449 0.037013 0.016232 0.007114 0.003118 0.001365 0.000596 0.000261
0.107227 0.467246 0.218126 0.101612 0.047369 0.022094 0.010301 0.004803 0.002237 0.001040 0.000483
0.114976 0.496505 0.246309 0.121947 0.060415 0.029947 0.014839 0.007353 0.003642 0.001800 0.000890
0.123285 0.526790 0.277275 0.145677 0.076583 0.040281 0.021181 0.011139 0.005856 0.003072 0.001611
0.132194 0.558208 0.311346 0.173358 0.096582 0.053835 0.029999 0.016718 0.009312 0.005177 0.002876
0.141747 0.590452 0.348366 0.205206 0.120946 0.071317 0.042040 0.024782 0.014602 0.008588 0.005046
0.151991 0.623433 0.388382 0.241602 0.150363 0.093622 0.058273 0.036276 0.022573 0.014021 0.008703
0.162975 0.656964 0.431303 0.282794 0.185496 0.121721 0.079850 0.052388 0.034356 0.022494 0.014719
0.174753 0.690700 0.476765 0.328728 0.226737 0.156441 0.107915 0.074449 0.051343 0.035355 0.024328
0.187382 0.724359 0.524383 0.379258 0.274378 0.198557 0.143663 0.103961 0.075209 0.054335 0.039226
0.200923 0.757532 0.573543 0.433896 0.328336 0.248512 0.188071 0.142349 0.107717 0.081414 0.061490
0.215444 0.789897 0.623626 0.492037 0.388297 0.306488 0.241886 0.190929 0.150678 0.118793 0.093590
0.231013 0.821009 0.673749 0.552625 0.453354 0.371970 0.305167 0.250396 0.205429 0.168395 0.137950
0.247708 0.850381 0.722854 0.614216 0.521972 0.443630 0.377011 0.320443 0.272346 0.231318 0.196354
0.265609 0.877648 0.769989 0.675349 0.592389 0.519657 0.455819 0.399872 0.350787 0.307577 0.269552
0.284804 0.902356 0.813993 0.734144 0.662162 0.597264 0.538685 0.485902 0.438300 0.395225 0.356233
0.305386 0.924251 0.854015 0.789021 0.728991 0.673544 0.622271 0.574950 0.531245 0.490748 0.453181
0.327455 0.943094 0.889232 0.838388 0.790459 0.745276 0.702631 0.662466 0.624624 0.588858 0.554994
0.351119 0.958765 0.919071 0.880988 0.844480 0.809484 0.775897 0.743737 0.712937 0.683354 0.654873
0.376494 0.971344 0.943383 0.916209 0.889808 0.864165 0.839222 0.815022 0.791544 0.768707 0.746429
0.403702 0.981008 0.962283 0.943905 0.925867 0.908167 0.890776 0.873732 0.857030 0.840630 0.824472
0.432876 0.988061 0.976198 0.964472 0.952876 0.941413 0.930066 0.918866 0.907808 0.896877 0.886031
0.464159 0.992949 0.985903 0.978904 0.971945 0.965028 0.958147 0.951320 0.944543 0.937813 0.931101
0.497702 0.996112 0.992210 0.988323 0.984444 0.980574 0.976712 0.972866 0.969033 0.965217 0.961398
0.533670 0.998023 0.996032 0.994044 0.992057 0.990068 0.988079 0.986093 0.984109 0.982129 0.980144
0.572237 0.999082 0.998154 0.997228 0.996299 0.995368 0.994437 0.993506 0.992572 0.991640 0.990705
0.613591 0.999616 0.999228 0.998839 0.998450 0.998058 0.997667 0.997275 0.996881 0.996487 0.996092
0.657933 0.999859 0.999716 0.999573 0.999429 0.999285 0.999140 0.998996 0.998850 0.998704 0.998557
0.705480 0.999955 0.999909 0.999864 0.999818 0.999772 0.999725 0.999679 0.999632 0.999585 0.999538
0.756463 0.999988 0.999976 0.999964 0.999952 0.999939 0.999927 0.999915 0.999902 0.999889 0.999877
0.811131 0.999997 0.999995 0.999992 0.999989 0.999987 0.999984 0.999981 0.999978 0.999975 0.999973
0.869749 1.000000 0.999999 0.999999 0.999998 0.999998 0.999997 0.999997 0.999997 0.999996 0.999996
0.932603 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000
1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000
