# r D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7 D2m=8 D2m=9 D2m=10
0.480638 0.345578 0.795568 1.281713 1.555135 1.762102 1.889971 1.976635 2.084226 2.217045
0.515372 0.253382 0.653927 1.124328 1.438865 1.689840 1.842959 1.920014 1.997178 2.101426
0.552617 0.188445 0.512169 0.932680 1.288056 1.590952 1.776730 1.865855 1.922114 1.983612
0.592553 0.144935 0.376645 0.717518 1.102591 1.462751 1.695134 1.820509 1.871976 1.890211
0.635375 0.111988 0.265404 0.514488 0.889987 1.287697 1.583477 1.783035 1.858828 1.860493
0.681292 0.081380 0.185823 0.354497 0.665280 1.043048 1.399017 1.704581 1.857244 1.907267
0.730527 0.051432 0.126881 0.237947 0.460277 0.760848 1.121187 1.510519 1.779064 1.955373
0.783320 0.026333 0.077665 0.150311 0.297701 0.511336 0.803243 1.174442 1.537875 1.862545
0.839929 0.009918 0.037968 0.082019 0.173043 0.310340 0.517488 0.790764 1.148628 1.540362
0.900628 0.002693 0.012759 0.033470 0.082315 0.155736 0.287952 0.466108 0.728972 1.058853
0.965714 0.000597 0.002637 0.009122 0.027944 0.058187 0.125202 0.228251 0.387844 0.600873
