# r D2m=1 D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7 D2m=8 D2m=9 D2m=10
0.114976 0.848542 1.697201 2.548197 3.398416 4.248475 5.099723 5.953195 6.806903 7.660720 8.510205
0.123285 0.830255 1.660977 2.493298 3.325357 4.156960 4.988526 5.818590 6.648553 7.478386 8.305065
0.132194 0.804818 1.610124 2.417139 3.223872 4.030158 4.836064 5.641527 6.447761 7.254046 8.057604
0.141747 0.778962 1.558372 2.340021 3.120169 3.899999 4.679696 5.460911 6.242465 7.026200 7.813356
0.151991 0.750807 1.502283 2.256165 3.009333 3.761693 4.514664 5.267153 6.019595 6.774260 7.530463
0.162975 0.717693 1.436229 2.157122 2.877214 3.596487 4.316632 5.036818 5.757793 6.480587 7.201668
0.174753 0.681915 1.364358 2.049210 2.733307 3.416606 4.100695 4.785282 5.471022 6.158967 6.846464
0.187382 0.641759 1.284255 1.928896 2.572961 3.216278 3.860192 4.504037 5.148398 5.795345 6.442697
0.200923 0.599588 1.199836 1.802205 2.403917 3.005159 3.606529 4.208023 4.810312 5.415077 6.019921
0.215444 0.553664 1.107943 1.664291 2.220010 2.775145 3.330581 3.885995 4.442142 5.000781 5.560263
0.231013 0.503761 1.008226 1.514387 2.019922 2.524898 3.029955 3.535026 4.041168 4.550009 5.059585
0.247708 0.452319 0.905327 1.359836 1.813674 2.266988 2.720476 3.173641 3.627432 4.083591 4.540844
0.265609 0.397899 0.796477 1.196337 1.595791 1.994817 2.393888 2.792715 3.192033 3.593378 3.996033
0.284804 0.343598 0.687882 1.033141 1.378019 1.722604 2.067287 2.411677 2.756278 3.102459 3.449748
0.305386 0.289248 0.579148 0.869777 1.160178 1.450371 1.740658 2.030612 2.320687 2.612014 2.904553
0.327455 0.236193 0.473016 0.710321 0.947429 1.184418 1.421543 1.658431 1.895275 2.132971 2.371654
0.351119 0.186799 0.374186 0.561810 0.749339 0.936808 1.124396 1.311752 1.498981 1.686791 1.875444
0.376494 0.141896 0.284280 0.426815 0.569330 0.711788 0.854424 0.996899 1.139197 1.281852 1.425185
0.403702 0.102668 0.205756 0.308919 0.412098 0.515274 0.618600 0.721838 0.824935 0.928230 1.032000
0.432876 0.070726 0.141777 0.212857 0.283966 0.355075 0.426308 0.497461 0.568515 0.639646 0.711094
0.464159 0.045581 0.091404 0.137247 0.183134 0.229037 0.275027 0.320974 0.366862 0.412784 0.458905
0.497702 0.027459 0.055090 0.082727 0.110396 0.138085 0.165825 0.193541 0.221242 0.248943 0.276763
0.533670 0.015196 0.030506 0.045818 0.061160 0.076528 0.091928 0.107327 0.122729 0.138126 0.153591
0.572237 0.007668 0.015405 0.023143 0.030901 0.038680 0.046474 0.054270 0.062078 0.069884 0.077726
0.613591 0.003481 0.007003 0.010525 0.014056 0.017602 0.021155 0.024708 0.028275 0.031841 0.035423
0.657933 0.001376 0.002772 0.004167 0.005567 0.006974 0.008385 0.009797 0.011220 0.012642 0.014071
0.705480 0.000473 0.000955 0.001436 0.001920 0.002406 0.002892 0.003379 0.003870 0.004362 0.004855
0.756463 0.000133 0.000268 0.000403 0.000539 0.000677 0.000814 0.000953 0.001092 0.001232 0.001373
0.811131 0.000032 0.000064 0.000097 0.000130 0.000163 0.000196 0.000230 0.000264 0.000297 0.000332
0.869749 0.000005 0.000010 0.000016 0.000021 0.000026 0.000032 0.000037 0.000043 0.000048 0.000054
0.932603 0.000001 0.000002 0.000002 0.000003 0.000004 0.000005 0.000005 0.000006 0.000007 0.000008
