# r D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7 D2m=8 D2m=9 D2m=10
0.011103 1.964473 2.997120 4.087843 5.252371 10.557206 inf nan nan nan
0.011906 1.958334 3.009030 4.210437 4.981247 7.442465 11.081139 nan nan nan
0.012766 1.956667 2.936924 3.802278 5.443939 7.193453 6.527747 nan nan nan
0.013689 1.955855 2.904176 3.791078 5.293139 7.054983 11.583131 nan nan nan
0.014678 1.949634 2.897443 3.666844 4.490373 5.799819 6.321091 nan nan nan
0.015739 1.947245 2.902419 3.620780 4.391275 5.615610 6.748482 nan nan nan
0.016876 1.948883 2.911789 3.724413 4.238352 5.334013 5.664233 nan nan nan
0.018096 1.943345 2.905154 3.656077 4.045270 5.032272 5.237666 nan nan nan
0.019403 1.949883 2.904394 3.723342 3.992917 4.859935 6.023911 nan nan nan
0.020806 1.943438 2.872911 3.643278 3.955767 4.478142 4.483424 nan nan nan
0.022309 1.948406 2.855908 3.698764 3.969398 4.193602 3.889246 nan nan nan
0.023921 1.942955 2.837579 3.708087 4.064078 4.274969 3.814408 nan nan nan
0.025650 1.946397 2.863298 3.694048 4.184949 4.213300 4.030336 nan nan nan
0.027504 1.940470 2.876782 3.659901 4.148611 4.057274 3.822433 nan nan nan
0.029492 1.937507 2.857377 3.618125 4.170180 4.140819 3.557936 nan nan nan
0.031623 1.925750 2.810161 3.558102 4.125808 4.148586 3.929152 nan nan nan
0.033908 1.913118 2.814668 3.544857 4.125463 4.210478 4.358856 inf nan nan
0.036359 1.902189 2.790051 3.578192 4.155042 4.340724 4.614866 36.312228 nan nan
0.038986 1.892353 2.754141 3.522719 4.158516 4.442799 4.397221 12.528001 nan nan
0.041803 1.886060 2.727028 3.503307 4.257187 4.511747 4.544650 9.203863 nan nan
0.044824 1.878686 2.697460 3.495382 4.221549 4.789583 5.226769 11.934847 inf nan
0.048064 1.878711 2.662833 3.437792 4.190253 4.912034 5.103251 14.186668 30.726917 nan
0.051537 1.877770 2.646662 3.395784 4.186990 4.929465 5.663053 14.486236 22.141062 nan
0.055262 1.875047 2.618357 3.354794 4.130926 4.872335 6.631266 14.702623 21.656513 nan
0.059255 1.868492 2.577203 3.263982 3.991794 4.900299 7.043659 14.566819 20.808896 inf
0.063538 1.859253 2.545170 3.162404 3.831986 4.732116 6.744261 12.274781 16.420293 29.409494
0.068129 1.854699 2.528614 3.100967 3.609874 4.367234 5.786991 8.298232 10.360403 14.955762
0.073053 1.850186 2.510817 3.078771 3.496516 3.929736 4.716592 6.129799 7.929971 11.038113
0.078332 1.847101 2.491870 3.047242 3.432562 3.725060 4.248664 5.166678 6.739080 9.630358
0.083993 1.841412 2.463943 3.015246 3.370199 3.643283 3.978340 4.411449 5.620373 7.536561
0.090063 1.834259 2.434085 2.956424 3.277451 3.598131 3.901683 4.009396 4.512532 5.037506
0.096571 1.827564 2.414718 2.904194 3.204951 3.606292 3.863482 4.052860 4.372114 4.726974
0.103550 1.823516 2.392307 2.869749 3.146331 3.509832 3.897879 4.018910 4.209292 4.800989
0.111034 1.820741 2.366127 2.836605 3.103196 3.439479 3.911381 4.223901 4.321734 4.815999
0.119058 1.815458 2.353160 2.820110 3.057848 3.350102 3.765556 4.278156 4.351726 4.309692
0.127662 1.810084 2.350570 2.791602 3.022965 3.272391 3.605130 3.914152 4.024233 4.017366
0.136887 1.802685 2.347133 2.782483 3.006669 3.207703 3.484143 3.717177 3.829910 3.840632
0.146780 1.790201 2.328067 2.757973 2.993106 3.190649 3.452492 3.627771 3.799450 3.803153
0.157387 1.770898 2.298490 2.714965 2.957624 3.182182 3.463107 3.691545 3.843097 4.041517
0.168761 1.750586 2.277125 2.676748 2.941823 3.163468 3.414859 3.646963 3.777064 4.208320
0.180957 1.719774 2.242107 2.633817 2.902266 3.149119 3.443844 3.638898 3.619335 3.778336
0.194034 1.687201 2.195323 2.593490 2.860276 3.092307 3.407435 3.656601 3.580839 3.431212
0.208057 1.649798 2.146873 2.536501 2.828512 3.013182 3.318432 3.573455 3.582074 3.446377
0.223092 1.612498 2.094165 2.475913 2.792798 2.912257 3.179584 3.464727 3.527221 3.441906
0.239215 1.576742 2.041427 2.409426 2.741265 2.818750 3.008365 3.320331 3.525773 3.563244
0.256502 1.542192 1.990489 2.345539 2.680284 2.735385 2.871131 3.115830 3.436768 3.763572
0.275039 1.509777 1.938902 2.294603 2.617291 2.681802 2.766807 2.909399 3.185644 3.544262
0.294915 1.475616 1.882430 2.245507 2.546605 2.644808 2.717742 2.799114 2.954983 3.156684
0.316228 1.435775 1.817237 2.185474 2.476418 2.612002 2.685546 2.725998 2.828192 2.955240
0.339081 1.378338 1.736751 2.111699 2.409476 2.589439 2.678481 2.677052 2.762383 2.830943
0.363585 1.313714 1.642585 2.024920 2.332713 2.566918 2.695485 2.644240 2.689180 2.761180
0.389860 1.240917 1.549943 1.926904 2.246599 2.543116 2.726063 2.672012 2.659534 2.691830
0.418034 1.160696 1.462137 1.826715 2.152724 2.510807 2.758995 2.732022 2.679728 2.660198
0.448245 1.066171 1.374606 1.732319 2.051852 2.440458 2.773681 2.815124 2.709685 2.636109
0.480638 0.950662 1.283403 1.640597 1.948222 2.324247 2.681444 2.848204 2.793339 2.663518
0.515372 0.811589 1.185957 1.545035 1.831512 2.177882 2.518009 2.780286 2.858411 2.752782
0.552617 0.672147 1.083463 1.455023 1.717620 2.029322 2.302191 2.606717 2.823322 2.917842
0.592553 0.535115 0.966794 1.351668 1.621843 1.926948 2.093558 2.384617 2.676600 2.966632
0.635375 0.402530 0.833895 1.213526 1.527075 1.844831 1.958357 2.163431 2.445950 2.829861
0.681292 0.281013 0.692260 1.046058 1.400006 1.756787 1.895962 2.033638 2.197008 2.521380
0.730527 0.179374 0.547014 0.854110 1.227941 1.619608 1.863617 2.001211 2.016355 2.166466
0.783320 0.095995 0.401774 0.674042 1.026169 1.414305 1.798584 2.050799 1.974051 1.980505
0.839929 0.036946 0.258655 0.517783 0.820278 1.144019 1.620441 2.052546 2.052209 1.954896
0.900628 0.007476 0.129936 0.367854 0.639545 0.868317 1.301506 1.859171 2.181502 2.088936
0.965714 0.000305 0.042596 0.226152 0.478097 0.660497 0.954557 1.392468 2.067563 2.288812
